Item #,Download date,Download cancelled,Media type,Downloaded by,Subscription,Account overage,Title,Caption,Contributor,Source,File size,Project code,Download notes,Duplicate downloads
179520210,2020-05-11T06:30:09.3208274,,Photos,klippekort gyldendal,Klippekort,,He's a cool and casual kid,Portrait of a young boy,iStock,iStockphoto,3828 x 5184 px (32.41 x 43.89 cm) - 300 dpi - RGB,,Maximum 8 (C.E),
551427145,2020-05-11T04:06:29.1503916,,Photos,klippekort gyldendal,Klippekort,,Happy female teacher assisting girl to ride tricycle on playground,"",Maskot,Maskot,5700 x 3800 px (48.26 x 32.17 cm) - 300 dpi - RGB,,=HO Yrke (C.E),
73329233,2020-05-03T23:43:18.0499092,,Photos,klippekort gyldendal,Klippekort,,Boy at dentist with hygienist,"",Rubberball Productions,Rubberball,5100 x 3824 px (43.18 x 32.38 cm) - 300 dpi - RGB,,=HO (C.E),
98574784,2020-05-03T23:43:18.047952,,Photos,klippekort gyldendal,Klippekort,,"Pensive boy at school, Sweden.","",Johner Images Royalty-Free,Johner Images Royalty-Free,5434 x 3623 px (46.01 x 30.67 cm) - 300 dpi - RGB,,=HO (C.E),
1162299422,2020-05-03T23:43:18.046319,,Photos,klippekort gyldendal,Klippekort,,Doctor Examining Patient Using Eye Test Equipment,"Photo taken in Jaén, Spain",EyeEm,EyeEm,3228 x 2138 px (27.33 x 18.10 cm) - 300 dpi - RGB,,=HO (C.E),
763166791,2020-05-03T23:43:18.042886,,Photos,klippekort gyldendal,Klippekort,,Father helping daughter with homework,"",Johner Images Royalty-Free,Johner Images Royalty-Free,7200 x 4800 px (60.96 x 40.64 cm) - 300 dpi - RGB,,=HO (C.E),
557136223,2020-05-03T23:43:18.0406684,,Photos,klippekort gyldendal,Klippekort,,Female nurse talking with patients in waiting room,"",ONOKY,ONOKY RF,6140 x 4087 px (51.99 x 34.60 cm) - 300 dpi - RGB,,=HO (C.E),
551427231,2020-05-03T23:43:18.038598,,Photos,klippekort gyldendal,Klippekort,,Teacher telling story to children in kindergarten,"",Maskot,Maskot,5700 x 3800 px (48.26 x 32.17 cm) - 300 dpi - RGB,,=HO (C.E),
1032848170,2020-05-03T23:43:18.0330174,,Photos,klippekort gyldendal,Klippekort,,Nurse embracing senior woman in retirement home,"",Westend61,Westend61,5600 x 3733 px (47.41 x 31.61 cm) - 300 dpi - RGB,,=HO (C.E),
1158867548,2020-04-28T09:27:27.9506243,,Photos,klippekort gyldendal,Klippekort,,"Cyber Crime, reflection in spectacles of virus hacking a computer, close up of face","",Westend61,Westend61,5500 x 4125 px (46.57 x 34.92 cm) - 300 dpi - RGB,,Enter 9. LA,
1213960399,2020-04-23T23:35:06.9724236,,Photos,klippekort gyldendal,Klippekort,,Californians Face New Normal Amid Coronavirus Lockdown,"VENICE, CALIFORNIA - MARCH 21: Palm trees stand behind a street art piece by artist Pony Wave depicting two people kissing while wearing face masks on Venice Beach on March 21, 2020 in Venice, California. California Governor Gavin Newsom issued a ‘stay at home’ order for California’s 40 million residents in order to slow the spread of coronavirus (COVID-19). Californians may still go to the beach without violating Newsom’s order as long as they maintain social distancing and adhere to other public health measures related to the coronavirus. (Photo by Mario Tama/Getty Images)",Getty Images News,Getty Images North America,5146 x 3445 px (43.57 x 29.17 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
614992767,2020-04-21T05:50:42.6206675,,Photos,klippekort gyldendal,Klippekort,,"runner sports track, bird's eye view","",Photographer's Choice RF,Photographer's Choice RF,7000 x 4672 px (59.27 x 39.56 cm) - 300 dpi - RGB,,Mønster HO (C.E),
1176760308,2020-04-19T22:33:01.2836958,,Photos,klippekort gyldendal,Klippekort,,Woman checking blood pressure,Woman using medical device to measure blood pressure,Moment,Moment RF,7952 x 5304 px (67.33 x 44.91 cm) - 300 dpi - RGB,,Mønster HO (C.E),
1044770960,2020-04-19T22:33:01.2776631,,Photos,klippekort gyldendal,Klippekort,,"Tent on the way to Galdhoppingen, Jotunheimen National Park, Norway","",imageBROKER,imageBROKER RF,5132 x 3409 px (43.45 x 28.86 cm) - 300 dpi - RGB,,Mønster HO (C.E),
1044242722,2020-04-17T09:56:57.265258,,Photos,klippekort gyldendal,Klippekort,,Caucasian toddlers embracing latin woman,"",DigitalVision,Digital Vision,5760 x 3840 px (48.77 x 32.51 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
1180592952,2020-04-17T09:52:08.1955391,,Photos,klippekort gyldendal,Klippekort,,Salesman pointing while assisting young female customer in choosing phone cover from illuminated rack at store,"",Maskot,Maskot,3800 x 5700 px (32.17 x 48.26 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
106748964,2020-04-17T09:49:37.0945076,,Photos,klippekort gyldendal,Klippekort,,Teenage boy sits in front of TV playing video game,Teenager (15 years) sitting in chair shot from behind in studio playing video game on flat screen TV New York USA.,DigitalVision,Digital Vision,5244 x 4024 px (44.40 x 34.07 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
1129801905,2020-04-17T09:47:27.0918047,,Photos,klippekort gyldendal,Klippekort,,Male and female friends practicing choir on stage in auditorium,"",Maskot,Maskot,5700 x 3800 px (48.26 x 32.17 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
607477361,2020-04-17T09:44:05.2049693,,Photos,klippekort gyldendal,Klippekort,,Smiling latin Businesswoman during a meeting,A woman with dark hair and glasses is sitting at a table during a business meeting. She seems happy and is smiling.,DigitalVision,Digital Vision,5500 x 3671 px (46.57 x 31.08 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
79397289,2020-04-17T09:40:59.6137236,,Photos,klippekort gyldendal,Klippekort,,Middle Eastern father and son in new car,"",Tetra images,Tetra images RF,5120 x 3413 px (43.35 x 28.90 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
769720735,2020-04-17T09:36:46.2825809,,Photos,klippekort gyldendal,Klippekort,,Woman pushing wheelbarrow,"",Johner Images Royalty-Free,Johner Images Royalty-Free,7200 x 4800 px (60.96 x 40.64 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
916096610,2020-04-17T09:28:08.4095564,,Photos,klippekort gyldendal,Klippekort,,Mother drying daughter off (2yrs) after bath,Mother drying daughter off (2yrs) after bath,DigitalVision,Digital Vision,5200 x 3467 px (44.03 x 29.35 cm) - 300 dpi - RGB,,"Min norsk B1, KAH",
1134518542,2020-04-15T22:39:31.1231224,,Photos,klippekort gyldendal,Klippekort,,Worker on salmon farm in rural lake,"",Cultura,Cultura RF,5500 x 3666 px (46.57 x 31.04 cm) - 300 dpi - RGB,,Senit SF (C.E),
984910318,2020-04-14T22:52:35.5273935,,Photos,klippekort gyldendal,Klippekort,,Bagpipe player wearing traditional Scottish clothes.,Scotland: young redhead man in traditional Scottish outfit playing the bagpipe on the occasion of the Ceres Highland Games. (Photo by: Andia/Universal Images Group via Getty Images),Universal Images Group,Universal Images Group Editorial,3280 x 4928 px (27.77 x 41.72 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
80049962,2020-04-14T03:21:53.4060131,,Photos,klippekort gyldendal,Klippekort,,Girl and boy in winter scarves and caps,"",UpperCut Images,UpperCut RF,3428 x 5142 px (29.02 x 43.54 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
549503277,2020-04-14T03:21:53.4036239,,Photos,klippekort gyldendal,Klippekort,,Shed under the stars,Under a Winter Sky.,Moment,Moment RF,5472 x 3648 px (46.33 x 30.89 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
545863913,2020-04-14T03:21:53.4013801,,Illustrations,klippekort gyldendal,Klippekort,,Spiral galaxy and black hole,"Spiral galaxy and black hole, computer illustration.",Science Photo Library,Science Photo Library RF,5581 x 3139 px (47.25 x 26.58 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
500049165,2020-04-14T03:21:53.3987685,,Photos,klippekort gyldendal,Klippekort,,Mixed race boy riding skateboard in skate park,"",Tetra images,Tetra images RF,5123 x 3419 px (43.37 x 28.95 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
