Item #,Download date,Download cancelled,Media type,Downloaded by,Subscription,Account overage,Title,Caption,Contributor,Source,File size,Project code,Download notes,Duplicate downloads
877029554,2020-05-04T02:25:52.6655219,,Photos,Camilla Engevik,KlippekortiStock,,Psychiatrist listens to patient with compasssion,A compassionate female psychiatrist sits across from an unrecognizable patient and listens to her story.,E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,=HO (C.E),
1178529542,2020-05-03T23:40:24.4874927,,Photos,Camilla Engevik,KlippekortiStock,,"Young girl comparing variants, making scales with her empty hands","Make right choice. Positive young girl comparing variants, making scales with her empty hands over light studio background, panorama with free space",iStock,iStockphoto,5134 x 2823 px (43.47 x 23.90 cm) - 300 dpi - RGB,,=HO (C.E),
473121308,2020-05-03T23:40:24.4809078,,Photos,Camilla Engevik,KlippekortiStock,,Teacher with preschool children having fun,"High angle view of a preschool teacher with a multi-ethnic group of children, 4 to 5 years, laughing and having fun.  They are sitting at a green table outdoors, closing their eyes and reaching up with their hands.  A cute little African American boy is laughing with his mouth wide open.",iStock,iStockphoto,5760 x 3840 px (48.77 x 32.51 cm) - 300 dpi - RGB,,=HO (C.E),
693224522,2020-05-03T23:40:24.4744195,,Photos,Camilla Engevik,KlippekortiStock,,Home Caregiver with senior man in bathroom,Home Caregiver with senior man in bathroom,E+,E Plus,5580 x 3720 px (47.24 x 31.50 cm) - 300 dpi - RGB,,=HO (C.E),
1170061303,2020-05-03T23:40:24.4679745,,Photos,Camilla Engevik,KlippekortiStock,,paying for treatment,female patient chats to the nurse whilst paying at reception,E+,E Plus,8256 x 4761 px (69.90 x 40.31 cm) - 300 dpi - RGB,,=HO (C.E),
1071025684,2020-05-03T23:40:24.4612846,,Photos,Camilla Engevik,KlippekortiStock,,Young woman at skin cleaning treatment,Young woman receiving beauty and healthy treatment for facial skin while lying on bet in spa center,E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,=HO (C.E),
1134381003,2020-05-03T23:40:24.4545792,,Photos,Camilla Engevik,KlippekortiStock,,Mother Comforting Her Daughter,An Ethnic mother and daughter are indoors in a hospital. The daughter is about to have a checkup. Her mother and doctor are trying to comfort her.,E+,E Plus,6478 x 4479 px (54.85 x 37.92 cm) - 300 dpi - RGB,,=HO (C.E),
497066714,2020-05-03T23:40:24.4472299,,Photos,Camilla Engevik,KlippekortiStock,,Woman traveling by train with favorite music,Thoughtful young woman in the train listening to music in wireless headphones and enjoying passing landscape from the window,iStock,iStockphoto,5616 x 3744 px (47.55 x 31.70 cm) - 300 dpi - RGB,,=HO (C.E),
683523368,2020-05-03T23:40:24.4404878,,Photos,Camilla Engevik,KlippekortiStock,,Ambulance driving in a winter landscape in Norther Norway,Ambulance driving in a winter landscape in Norther Norway during a beautiful winter day near the village of Gryllefjord on the island Senja..,iStock Unreleased,iStock Unreleased,6742 x 4500 px (57.08 x 38.10 cm) - 300 dpi - RGB,,=HO (C.E),
492538732,2020-05-03T23:40:24.4333363,,Photos,Camilla Engevik,KlippekortiStock,,student and tutor one to one,a male university student is having a one to one with his college lecturer or counsellor,E+,E Plus,7360 x 4912 px (62.31 x 41.59 cm) - 300 dpi - RGB,,=HO (C.E),
